stop_id,stop_name,stop_lat,stop_lon,stop_code,stop_desc,zone_id,stop_url,location_type,parent_station,wheelchair_boarding,stop_direction,stop_timezone,vehicle_type,platform_code,level_id,mta_stop_id,regional_fare_card,tts_stop_name
5114,"Murano Colonna ""B""",45.451111,12.348869,5114,,1,,,,,,,,,,,,
5115,Bacini - Arsenale Nord,45.439205,12.357293,5115,,1,,,,,,,,,,,,
5116,S. Pietro di Castello,45.433834,12.361842,5116,,1,,,,,,,,,,,,
5118,"Zitelle ""A""",45.426624,12.337678,5118,,1,,,,,,,,,,,,
5119,"Murano Museo ""B""",45.456139,12.355189,5119,,1,,,,,,,,,,,,
5120,"Murano Colonna ""C""",45.451134,12.348564,5120,,1,,,,,,,,,,,,
5124,"Giardini ""A""",45.429760,12.354997,5124,,1,,,,,,,,,,,,
5126,Deposito Arsenale,45.433453,12.347198,5126,,1,,,,,,,,,,,,
5128,"Giardini Biennale ""A""",45.428886,12.356096,5128,,1,,,,,,,,,,,,
5129,"Giudecca Palanca ""A""",45.426899,12.325401,5129,,1,,,,,,,,,,,,
5132,"S. Marcuola-Casino' ""B""",45.442513,12.328278,5132,,1,,,,,,,,,,,,
5133,"Arsenale ""B""",45.432896,12.348330,5133,,1,,,,,,,,,,,,
5135,Crea,45.445278,12.321106,5135,,1,,,,,,,,,,,,
5136,"Riva de Biasio ""A""",45.441830,12.325079,5136,,1,,,,,,,,,,,,
5138,Rialto Mercato,45.439453,12.335298,5138,,1,,,,,,,,,,,,
5139,"Sacca Fisola ""B""",45.428959,12.316327,5139,,1,,,,,,,,,,,,
5142,Deposito Tronchetto,45.438442,12.303600,5142,,1,,,,,,,,,,,,
5144,Deposito F.te Nove,45.444786,12.337988,5144,,1,,,,,,,,,,,,
5146,Deposito S. Elena,45.424648,12.362938,5146,,1,,,,,,,,,,,,
5151,"Burano ""A""",45.487690,12.415232,5151,,1,,,,,,,,,,,,
5152,"Lido S.M.E. ""E""",45.417358,12.367540,5152,,1,,,,,,,,,,,,
5154,Deposito Chioggia P.tta V,45.223713,12.280280,5154,,2,,,,,,,,,,,,
5155,Deposito S.Nicolo',45.425369,12.377941,5155,,1,,,,,,,,,,,,
5156,Parcheggio Lido,45.418121,12.369387,5156,,1,,,,,,,,,,,,
5157,Parcheggio P.le Roma,45.439991,12.318908,5157,,1,,,,,,,,,,,,
5158,"Lido S.M.E. ""C""",45.417698,12.368246,5158,,1,,,,,,,,,,,,
5159,Spirito Santo,45.428310,12.331958,5159,,1,,,,,,,,,,,,
5161,Deposito Pieta',45.433533,12.344774,5161,,1,,,,,,,,,,,,
5166,"Rialto ""A""",45.436981,12.334541,5166,,1,,,,,,,,,,,,
5189,"Guglie ""B""",45.444424,12.324183,5189,,1,,,,,,,,,,,,
5191,"Ferrovia ""E""",45.439873,12.320880,5191,,1,,,,,,,,,,,,
5200,"S. Marco-San Zaccaria""B1""",45.433506,12.343763,5200,,1,,,,,,,,,,,,
5203,"S. Marco-San Zaccaria ""B""",45.433666,12.344240,5203,,1,,,,,,,,,,,,
5210,Tronchetto Mercato,45.441353,12.309132,5210,,1,,,,,,,,,,,,
5213,S. Giobbe,45.446522,12.318007,5213,,1,,,,,,,,,,,,
5610,Lazzaretto N. A RICHIESTA,45.454956,12.386839,5610,,1,,,,,,,,,,,,
5618,Certosa A RICHIESTA,45.430523,12.367644,5618,,1,,,,,,,,,,,,
5619,Celestia A RICHIESTA,45.439079,12.349660,5619,,1,,,,,,,,,,,,
5621,S. Giorgio A RICHIESTA,45.429470,12.342235,5621,,1,,,,,,,,,,,,
5692,Vignole A RICHIESTA,45.443707,12.376256,5692,,1,,,,,,,,,,,,
5693,Torcello A RICHIESTA,45.495090,12.412183,5693,,1,,,,,,,,,,,,
5698,Lido S.Nicolo' A RICHIEST,45.424339,12.377112,5698,,1,,,,,,,,,,,,
5715,Bacini A RICHIESTA,45.439201,12.357294,5715,,1,,,,,,,,,,,,
5717,Caroman A RICHIESTA,45.243614,12.294000,5717,,1,,,,,,,,,,,,
5778,S. Servolo A RICHIESTA,45.419624,12.355349,5778,,1,,,,,,,,,,,,
5791,Capannone. A RICHIESTA,45.454636,12.388569,5791,,1,,,,,,,,,,,,
15009,"S. Marco-San Zaccaria ""A""",45.433395,12.344964,15009,,1,,,,,,,,,,,,
15020,Ospedale,45.440880,12.344753,15020,,1,,,,,,,,,,,,
15142,Deposito Tronchetto,45.438442,12.303600,15142,,1,,,,,,,,,,,,
15161,Deposito Pieta',45.433533,12.344774,15161,,1,,,,,,,,,,,,
15692,Vignole A RICHIESTA,45.443707,12.376256,15692,,1,,,,,,,,,,,,
